Observed and Forecast Stages for (IRVA2)

There Is No Displayable Forecast Data In The Given Time Frame
Observed Data:
|Date(AKDT)|	|Stage|	|--Flow-|
08/21 06:00	21.72ft	147.00cfs
08/21 05:00	21.72ft	147.00cfs
08/21 04:00	21.76ft	154.00cfs
08/21 03:00	21.76ft	154.00cfs
08/21 02:00	21.77ft	156.00cfs
08/21 01:00	21.77ft	156.00cfs
08/21 00:00	21.82ft	167.00cfs
08/20 23:00	21.84ft	171.00cfs
08/20 22:00	21.84ft	171.00cfs
08/20 21:00	21.85ft	173.00cfs
08/20 20:00	21.88ft	179.00cfs
08/20 19:00	21.90ft	183.00cfs
08/20 18:00	21.93ft	190.00cfs
08/20 17:00	21.96ft	196.00cfs
08/20 16:00	21.99ft	203.00cfs
08/20 15:00	22.00ft	205.00cfs
08/20 14:00	22.04ft	215.00cfs
08/20 13:00	22.09ft	226.00cfs
08/20 12:00	22.10ft	229.00cfs
08/20 11:00	22.17ft	246.00cfs
08/20 10:00	22.18ft	248.00cfs
08/20 09:00	22.19ft	251.00cfs
08/20 08:00	22.16ft	243.00cfs
08/20 07:00	22.07ft	222.00cfs
08/20 06:00	21.99ft	203.00cfs
08/20 05:00	21.92ft	188.00cfs
08/20 04:00	21.93ft	190.00cfs
08/20 03:00	21.92ft	188.00cfs
08/20 02:00	21.92ft	188.00cfs
08/20 01:00	21.93ft	190.00cfs
08/20 00:00	21.95ft	194.00cfs
08/19 23:00	21.93ft	190.00cfs
08/19 22:00	21.94ft	192.00cfs
08/19 21:00	22.02ft	210.00cfs
08/19 20:00	22.00ft	205.00cfs
08/19 19:00	22.03ft	212.00cfs
08/19 18:00	22.08ft	224.00cfs
08/19 17:00	22.13ft	236.00cfs
08/19 16:00	22.15ft	241.00cfs
08/19 15:00	22.17ft	246.00cfs
08/19 14:00	22.23ft	261.00cfs
08/19 13:00	22.23ft	261.00cfs
08/19 12:00	22.31ft	282.00cfs
08/19 11:00	22.32ft	285.00cfs
08/19 10:00	22.34ft	290.00cfs
08/19 09:00	22.25ft	266.00cfs
08/19 08:00	22.23ft	261.00cfs
08/19 07:00	22.24ft	264.00cfs
08/19 06:00	22.25ft	266.00cfs
08/19 05:00	22.31ft	282.00cfs
08/19 04:00	22.38ft	301.00cfs
08/19 03:00	22.43ft	315.00cfs
08/19 02:00	22.49ft	332.00cfs
08/19 01:00	22.49ft	332.00cfs
08/19 00:00	22.54ft	346.00cfs
08/18 23:00	22.60ft	364.00cfs
08/18 22:00	22.61ft	367.00cfs
08/18 21:00	22.63ft	373.00cfs
08/18 20:00	22.70ft	395.00cfs
08/18 19:00	22.76ft	414.00cfs
08/18 18:00	22.84ft	440.00cfs
08/18 17:00	22.93ft	470.00cfs
08/18 16:00	23.04ft	-999000.00cfs
08/18 15:00	23.17ft	-999000.00cfs
08/18 14:00	23.32ft	-999000.00cfs
08/18 13:00	23.67ft	-999000.00cfs
