TimeAKDT,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC<br>
12:03 AM,59.0,59.0,100,30.18,10.0,South,18.4,24.2,N/A,,Overcast,190,2015-08-18 08:03:00<br>
12:53 AM,57.9,57.9,100,30.18,9.0,South,11.5,19.6,N/A,,Overcast,180,2015-08-18 08:53:00<br>
1:53 AM,57.9,57.9,100,30.16,8.0,South,13.8,19.6,N/A,,Overcast,180,2015-08-18 09:53:00<br>
2:53 AM,57.9,57.9,100,30.14,6.0,South,11.5,23.0,N/A,,Overcast,180,2015-08-18 10:53:00<br>
3:53 AM,57.9,57.9,100,30.12,8.0,South,10.4,24.2,0.00,,Overcast,180,2015-08-18 11:53:00<br>
4:21 AM,57.9,57.9,100,30.11,4.0,South,18.4,25.3,0.00,Rain,Light Rain,190,2015-08-18 12:21:00<br>
4:53 AM,57.9,57.9,100,30.08,4.0,South,17.3,26.5,0.01,Rain,Light Rain,190,2015-08-18 12:53:00<br>
5:18 AM,57.0,57.0,100,30.06,1.8,South,17.3,32.2,0.09,Rain,Heavy Rain,190,2015-08-18 13:18:00<br>
5:42 AM,57.0,57.0,100,30.06,1.0,South,17.3,26.5,0.38,Rain,Heavy Rain,180,2015-08-18 13:42:00<br>
5:53 AM,57.0,57.0,100,30.06,1.2,South,16.1,28.8,0.49,Rain,Heavy Rain,190,2015-08-18 13:53:00<br>
6:19 AM,57.0,57.0,100,30.04,0.5,SSW,19.6,27.6,0.19,Fog-Rain,Heavy Rain,200,2015-08-18 14:19:00<br>
6:53 AM,57.0,57.0,100,30.04,0.5,South,15.0,28.8,0.58,Fog-Rain,Heavy Rain,180,2015-08-18 14:53:00<br>
7:18 AM,57.0,57.0,100,30.03,1.0,South,12.7,20.7,0.21,Rain,Heavy Rain,170,2015-08-18 15:18:00<br>
7:33 AM,57.0,57.0,100,30.03,0.8,South,11.5,20.7,0.39,Rain,Heavy Rain,180,2015-08-18 15:33:00<br>
7:53 AM,57.0,57.0,100,30.03,1.2,South,9.2,18.4,0.57,Rain,Rain,180,2015-08-18 15:53:00<br>
8:12 AM,57.0,-9999,N/A,30.03,0.8,South,10.4,18.4,0.20,Rain,Heavy Rain,190,2015-08-18 16:12:00<br>
8:50 AM,57.2,57.2,100,30.04,1.0,South,10.4,17.3,0.54,Rain,Heavy Rain,190,2015-08-18 16:50:00<br>
8:51 AM,57.9,57.9,100,30.04,1.0,South,9.2,17.3,0.55,Rain,Heavy Rain,180,2015-08-18 16:51:00<br>
9:05 AM,57.9,57.9,100,30.04,0.5,South,12.7,18.4,0.16,Fog-Rain,Heavy Rain,190,2015-08-18 17:05:00<br>
9:33 AM,57.0,57.0,100,30.04,1.0,SSW,12.7,21.9,0.35,Rain,Heavy Rain,200,2015-08-18 17:33:00<br>
