TimeAKST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:21 AM,46.4,44.6,93,30.00,2.5,South,26.5,48.3,0.15,Rain,Heavy Rain,170,2011-12-01 09:21:00
12:38 AM,46.4,44.6,93,29.99,3.0,South,29.9,40.3,0.23,Rain,Rain,170,2011-12-01 09:38:00
12:53 AM,46.0,44.1,93,29.98,3.0,South,27.6,38.0,0.29,Rain,Rain,170,2011-12-01 09:53:00
1:48 AM,44.6,44.6,100,29.95,2.5,South,25.3,34.5,0.24,Rain,Heavy Rain,180,2011-12-01 10:48:00
1:53 AM,45.0,44.1,97,29.95,2.5,South,19.6,34.5,0.26,Rain,Heavy Rain,170,2011-12-01 10:53:00
2:21 AM,44.6,44.6,100,29.93,2.5,South,19.6,34.5,0.14,Rain,Heavy Rain,180,2011-12-01 11:21:00
2:32 AM,44.6,44.6,100,29.91,3.0,South,21.9,34.5,0.19,Rain,Heavy Rain,180,2011-12-01 11:32:00
2:40 AM,44.6,44.6,100,29.90,2.5,South,21.9,33.4,0.22,Rain,Heavy Rain,180,2011-12-01 11:40:00
2:50 AM,44.6,44.6,100,29.90,3.0,South,23.0,32.2,0.27,Rain,Heavy Rain,180,2011-12-01 11:50:00
2:53 AM,44.6,44.6,100,29.90,3.0,South,19.6,32.2,N/A,Rain,Rain,180,2011-12-01 11:53:00
3:53 AM,44.1,44.1,100,29.87,3.0,SSW,24.2,34.5,0.21,Rain,Rain,200,2011-12-01 12:53:00
4:06 AM,44.6,44.6,100,29.86,3.0,SW,16.1,26.5,0.04,Rain,Rain,230,2011-12-01 13:06:00
4:48 AM,44.6,42.8,93,29.86,5.0,WSW,13.8,-,0.12,Rain,Rain,250,2011-12-01 13:48:00
4:51 AM,44.6,42.8,93,29.86,5.0,WSW,16.1,-,0.12,Rain,Rain,240,2011-12-01 13:51:00
4:53 AM,43.0,43.0,100,29.85,5.0,SW,17.3,23.0,0.13,Rain,Rain,230,2011-12-01 13:53:00
5:53 AM,41.0,39.9,96,29.88,6.0,West,11.5,-,0.10,Rain,Rain,280,2011-12-01 14:53:00
6:53 AM,41.0,37.9,89,29.92,10.0,West,16.1,27.6,0.11,Rain,Light Rain,280,2011-12-01 15:53:00
7:15 AM,39.2,37.4,93,29.93,10.0,West,10.4,-,0.02,Rain,Light Rain,260,2011-12-01 16:15:00
7:53 AM,39.0,36.0,89,29.95,10.0,NW,19.6,-,0.03,,Mostly Cloudy,320,2011-12-01 16:53:00
8:53 AM,41.0,36.0,82,29.98,10.0,West,19.6,29.9,0.01,,Overcast,280,2011-12-01 17:53:00
9:53 AM,42.1,37.0,82,30.01,9.0,West,19.6,28.8,N/A,,Mostly Cloudy,260,2011-12-01 18:53:00
10:50 AM,41.0,37.4,87,30.06,6.0,West,18.4,31.1,0.00,Rain,Light Rain,270,2011-12-01 19:50:00
10:53 AM,42.1,37.0,82,30.07,8.0,West,19.6,31.1,0.00,Rain,Light Rain,270,2011-12-01 19:53:00
11:19 AM,42.8,35.6,76,30.08,10.0,West,18.4,-,0.00,Rain,Light Rain,280,2011-12-01 20:19:00
11:30 AM,39.2,35.6,87,30.08,4.0,West,25.3,36.8,0.01,Rain,Light Rain,280,2011-12-01 20:30:00
11:37 AM,41.0,35.6,81,30.09,10.0,West,17.3,-,0.01,Rain,Light Rain,270,2011-12-01 20:37:00
11:53 AM,42.1,36.0,79,30.10,10.0,West,16.1,-,0.01,,Mostly Cloudy,280,2011-12-01 20:53:00
12:53 PM,42.1,36.0,79,30.14,8.0,West,24.2,34.5,N/A,,Mostly Cloudy,280,2011-12-01 21:53:00
1:24 PM,39.2,35.6,87,30.16,5.0,West,21.9,35.7,0.02,Rain,Light Rain,280,2011-12-01 22:24:00
1:32 PM,41.0,35.6,81,30.17,10.0,West,16.1,26.5,0.02,,Overcast,280,2011-12-01 22:32:00
1:53 PM,41.0,37.0,86,30.18,10.0,WNW,17.3,-,0.02,,Overcast,290,2011-12-01 22:53:00
2:16 PM,41.0,35.6,81,30.20,6.0,WNW,24.2,33.4,0.00,Rain,Light Rain,290,2011-12-01 23:16:00
2:34 PM,41.0,37.4,87,30.21,10.0,WNW,13.8,-,0.00,,Overcast,290,2011-12-01 23:34:00
2:43 PM,41.0,37.4,87,30.22,8.0,WNW,15.0,-,0.00,,Overcast,300,2011-12-01 23:43:00
2:53 PM,42.1,37.0,82,30.22,8.0,West,18.4,27.6,0.00,,Overcast,280,2011-12-01 23:53:00
3:03 PM,39.2,37.4,93,30.25,4.0,NW,33.4,39.1,0.02,Rain,Heavy Rain,310,2011-12-02 00:03:00
3:53 PM,41.0,36.0,82,30.29,6.0,WNW,21.9,-,0.03,,Overcast,300,2011-12-02 00:53:00
4:11 PM,41.0,35.6,81,30.30,9.0,WNW,20.7,28.8,0.00,Rain,Light Rain,290,2011-12-02 01:11:00
4:53 PM,41.0,35.1,79,30.34,8.0,WNW,17.3,-,0.00,,Overcast,290,2011-12-02 01:53:00
5:53 PM,41.0,35.1,79,30.35,10.0,West,11.5,-,0.00,,Overcast,280,2011-12-02 02:53:00
6:39 PM,39.2,35.6,87,30.39,7.0,WNW,13.8,-,0.01,,Overcast,290,2011-12-02 03:39:00
6:53 PM,39.0,36.0,89,30.40,6.0,WNW,11.5,-,0.02,Rain,Light Rain,300,2011-12-02 03:53:00
7:19 PM,39.2,35.6,87,30.41,7.0,NW,9.2,-,0.00,,Overcast,320,2011-12-02 04:19:00
7:53 PM,41.0,33.1,73,30.42,10.0,West,13.8,-,0.00,,Overcast,280,2011-12-02 04:53:00
8:53 PM,41.0,32.0,70,30.45,10.0,West,11.5,-,N/A,,Overcast,280,2011-12-02 05:53:00
9:53 PM,41.0,32.0,70,30.45,10.0,West,3.5,-,N/A,,Overcast,270,2011-12-02 06:53:00
10:53 PM,39.0,33.1,79,30.46,10.0,Variable,3.5,-,N/A,,Overcast,0,2011-12-02 07:53:00
11:39 PM,37.4,33.8,87,30.48,6.0,North,4.6,-,0.00,Rain,Light Rain,350,2011-12-02 08:39:00
11:53 PM,37.0,34.0,89,30.47,10.0,NE,5.8,-,0.00,,Overcast,40,2011-12-02 08:53:00
